1,1,1,100,2026-04-01 10:44:50.958174+02
2,2,1,100,2026-04-01 10:44:50.958174+02
3,1,1,101,2026-04-01 10:44:50.958174+02
4,2,1,0,2026-04-01 10:44:50.958174+02
5,1,2,100,2026-04-01 10:48:03.451429+02
6,2,2,100,2026-04-01 10:48:03.451429+02
7,1,2,101,2026-04-01 10:48:03.451429+02
8,2,3,100,2026-04-01 10:49:00.496291+02
9,1,3,100,2026-04-01 10:49:00.496291+02
10,2,3,99,2026-04-01 10:49:00.496291+02
11,1,3,101,2026-04-01 10:49:00.496291+02
12,2,4,100,2026-04-01 10:53:14.617681+02
13,1,4,140,2026-04-01 10:53:14.617681+02
14,2,4,101,2026-04-01 10:53:14.617681+02
